,lat,lon,flood_height,elevation,precipitation,is_flooding,geometry,index_right,Var
0,14.64039374,121.0557085,0,54.5532951355,9.0,0,POINT (121.0557085 14.64039374),,
1,14.69829935,121.0021322,0,21.8562717438,10.0,0,POINT (121.0021322 14.69829935),,
2,14.69885841,121.1002614,0,69.322807312,16.0,0,POINT (121.1002614 14.69885841),,
3,14.57131006,120.9833345,0,10.9872407913,8.0,0,POINT (120.9833345 14.57131006),,
4,14.7622323,121.0757349,0,87.8898468018,18.0,0,POINT (121.0757349 14.7622323),,
5,14.6011784,121.0885987,0,14.4637336731,11.0,0,POINT (121.0885987 14.6011784),0.0,1.0
6,14.70803089,121.052674,0,45.0005531311,12.0,0,POINT (121.052674 14.70803089),1.0,2.0
7,14.70920612,121.0502922,0,43.226852417,13.0,0,POINT (121.0502922 14.70920612),,
8,14.70962531,121.0470059,0,43.1831130981,12.0,0,POINT (121.0470059 14.70962531),2.0,3.0
9,14.66933825,121.1328981,0,48.2762107849,17.0,0,POINT (121.1328981 14.66933825),,
10,14.72701256,121.0465953,0,53.3076515198,13.0,0,POINT (121.0465953 14.72701256),,
11,14.6467477,121.0628002,0,62.1015319824,10.0,0,POINT (121.0628002 14.6467477),,
12,14.685377,121.097061,0,82.2314758301,15.0,0,POINT (121.097061 14.685377),,
13,14.39827,121.027496,0,37.0790176392,10.0,0,POINT (121.027496 14.39827),,
14,14.630796,121.072151,0,52.1958312988,10.0,0,POINT (121.072151 14.630796),,
15,14.630796,121.072144,0,52.1958312988,10.0,0,POINT (121.072144 14.630796),,
16,14.630767,121.072205,0,52.1958312988,10.0,0,POINT (121.072205 14.630767),,
17,14.732137,121.05455,0,69.5092391968,14.0,0,POINT (121.05455 14.732137),,
18,14.61853,121.058342,0,51.159576416,9.0,0,POINT (121.058342 14.61853),,
19,14.636256,121.082314,0,36.8361244202,11.0,0,POINT (121.082314 14.636256),,
20,14.636267,121.082298,0,36.8361244202,11.0,0,POINT (121.082298 14.636267),0.0,1.0
21,14.655506,121.086761,0,38.0961227417,12.0,0,POINT (121.086761 14.655506),,
22,14.620814,121.04863,0,41.8438415527,9.0,0,POINT (121.04863 14.620814),,
23,14.625777,121.010796,0,14.0821800232,8.0,0,POINT (121.010796 14.625777),0.0,1.0
24,14.627915,121.013458,0,17.3416099548,8.0,0,POINT (121.013458 14.627915),,
25,14.630739,121.01638,0,15.0720682144,8.0,0,POINT (121.01638 14.630739),,
26,14.632337,121.01889,0,18.1897277832,8.0,0,POINT (121.01889 14.632337),0.0,1.0
27,14.633064,121.020218,0,20.2778568268,8.0,0,POINT (121.020218 14.633064),,
28,14.632171,121.020737,0,21.9754295349,8.0,0,POINT (121.020737 14.632171),,
29,14.628372,121.033974,0,31.1722774506,8.0,0,POINT (121.033974 14.628372),,
30,14.626919,121.033798,0,30.3964977264,8.0,0,POINT (121.033798 14.626919),,
31,14.621645,121.024658,0,23.3781356812,8.0,0,POINT (121.024658 14.621645),0.0,1.0
32,14.622268,121.026466,0,27.1499156952,8.0,0,POINT (121.026466 14.622268),,
33,14.622911,121.02906,0,29.5121612549,8.0,0,POINT (121.02906 14.622911),,
34,14.623846,121.033134,0,30.462228775,8.0,0,POINT (121.033134 14.623846),,
35,14.630303,121.025757,0,28.5100765228,8.0,0,POINT (121.025757 14.630303),1.0,2.0
36,14.673847,121.058876,0,52.8063011169,11.0,0,POINT (121.058876 14.673847),,
37,14.673867,121.058884,0,52.8063011169,11.0,0,POINT (121.058884 14.673867),,
38,14.496457,121.007439,0,9.46848678589,6.0,0,POINT (121.007439 14.496457),,
39,14.43601,120.987564,0,22.6609630585,7.0,0,POINT (120.987564 14.43601),,
40,14.658797,121.068962,0,71.5064544678,11.0,0,POINT (121.068962 14.658797),,
41,14.616882,121.064957,0,51.6550140381,9.0,0,POINT (121.064957 14.616882),,
42,14.658864,121.068886,0,71.5064544678,11.0,0,POINT (121.068886 14.658864),,
43,14.608107,121.026985,0,14.7621536255,8.0,0,POINT (121.026985 14.608107),,
44,14.432397,121.021523,0,36.5415840149,8.0,0,POINT (121.021523 14.432397),0.0,1.0
45,14.657551,121.06768,0,69.7145233154,11.0,0,POINT (121.06768 14.657551),,
